PBANKA	CITH	DOZI	DOZI/CITH
PBANKA_093200	1	0	1
PBANKA_133830	1	0	1
PBANKA_144620	0	1	1
PBANKA_131780	0	1	1
PBANKA_000330	0	0	0
PBANKA_000340	0	0	0
PBANKA_000380	0	0	0
PBANKA_000490	0	0	0
PBANKA_000570	0	0	0
PBANKA_010060	0	0	0
PBANKA_010070	0	0	0
PBANKA_010080	0	0	0
PBANKA_010270	0	0	0
PBANKA_010410	0	0	0
PBANKA_010470	0	0	0
PBANKA_010560	0	0	0
PBANKA_010860	0	0	0
PBANKA_010870	0	0	0
PBANKA_011000	0	0	0
PBANKA_011030	0	0	0
PBANKA_011050	0	0	0
PBANKA_011130	0	0	0
PBANKA_020020	0	0	0
PBANKA_020090	0	0	0
PBANKA_020160	0	0	0
PBANKA_020190	0	0	0
PBANKA_020420	0	0	0
PBANKA_020470	0	0	0
PBANKA_020510	0	0	0
PBANKA_020580	0	0	0
PBANKA_020630	0	0	0
PBANKA_020650	0	0	0
PBANKA_020720	0	0	0
PBANKA_020760	0	0	0
PBANKA_020930	0	0	0
PBANKA_021120	0	0	0
PBANKA_021210	0	0	0
PBANKA_021300	0	0	0
PBANKA_021310	0	0	0
PBANKA_030060	0	0	0
PBANKA_030110	0	0	0
PBANKA_030120	0	0	0
PBANKA_030150	0	0	0
PBANKA_030250	0	0	0
PBANKA_030620	0	0	0
PBANKA_030680	0	0	0
PBANKA_031020	0	0	0
PBANKA_031190	0	0	0
PBANKA_031240	0	0	0
PBANKA_031250	0	0	0
PBANKA_031410	0	0	0
PBANKA_031420	0	0	0
PBANKA_031450	0	0	0
PBANKA_031560	0	0	0
PBANKA_031600	0	0	0
PBANKA_031620	0	0	0
PBANKA_040040	0	0	0
PBANKA_040230	0	0	0
PBANKA_040300	0	0	0
PBANKA_040340	0	0	0
PBANKA_040410	0	0	0
PBANKA_040440	0	0	0
PBANKA_040530	0	0	0
PBANKA_040550	0	0	0
PBANKA_040570	0	0	0
PBANKA_040600	0	0	0
PBANKA_040650	0	0	0
PBANKA_040770	0	0	0
PBANKA_040930	0	0	0
PBANKA_040940	0	0	0
PBANKA_041000	0	0	0
PBANKA_041130	0	0	0
PBANKA_041310	0	0	0
